SibatSiyum,Min_m,dat_m,Gil_M,MatzavMishp_m,ShnatAliya_m,Shana,Machoz_m,Nafa_m
1,2,20,45,10,1900,2018,1,11
1,1,40,31,20,1900,2018,1,11
3,2,20,61,20,1900,2018,1,11
6,2,20,39,20,1900,2018,1,11
1,1,20,53,10,1900,2018,1,11
5,2,20,71,40,1951,2018,1,11
4,1,10,47,20,1900,2018,1,11
6,2,20,24,20,1900,2018,1,11
6,1,10,59,30,1900,2018,1,11
6,2,10,52,20,1900,2018,1,11
3,2,10,58,30,1900,2018,1,11
3,2,10,84,40,1951,2018,1,11
6,1,10,22,10,1900,2018,1,11
8,2,95,48,20,2000,2018,1,11
2,2,10,59,20,1900,2018,1,11
6,1,10,21,10,1900,2018,1,11
5,1,10,87,20,1956,2018,1,11
6,1,10,44,10,2002,2018,1,11
4,2,10,36,20,2007,2018,1,11
2,2,10,68,20,1956,2018,1,11
1,1,10,22,10,1900,2018,1,11
6,1,10,26,10,1900,2018,1,11
4,1,10,44,20,2012,2018,1,11
10,1,10,55,20,1997,2018,1,11
1,1,10,21,10,1999,2018,1,11
4,2,10,94,40,2010,2018,1,11
4,2,10,57,20,2001,2018,1,11
6,1,10,22,10,1900,2018,1,11
6,2,10,29,20,1900,2018,1,11
3,2,10,52,20,1968,2018,1,11
10,1,10,21,10,2005,2018,1,11
3,1,10,40,20,1900,2018,1,11
6,1,10,35,20,1900,2018,1,11
1,2,10,25,20,2014,2018,1,11
3,1,10,54,20,1900,2018,1,11
3,2,10,29,20,1900,2018,1,11
3,1,10,60,20,1900,2018,1,11
3,2,10,30,20,1900,2018,1,11
3,2,10,37,10,1900,2018,1,11
3,2,10,23,20,1900,2018,1,11
6,2,10,45,20,1900,2018,1,11
6,1,10,25,20,1900,2018,1,11
3,2,10,29,20,1900,2018,1,11
6,2,10,41,10,1993,2018,1,11
3,1,10,29,20,1900,2018,1,11
1,2,10,36,20,1900,2018,1,11
3,1,10,20,20,1900,2018,1,11
10,2,20,76,20,1900,2018,1,11
7,2,10,52,10,1900,2018,1,11
8,1,10,65,20,2015,2018,1,11
8,2,10,35,10,1900,2018,1,11
10,1,10,31,10,1900,2018,1,11
1,1,10,25,20,1900,2018,1,11
6,2,10,48,20,1900,2018,1,11
5,2,10,94,40,1949,2018,1,11
3,2,10,20,10,1900,2018,1,11
4,2,10,28,10,1900,2018,1,11
1,1,95,36,10,2004,2018,1,11
5,2,10,96,40,1925,2018,1,11
10,1,10,82,40,2013,2018,1,11
